mass,radius,density,planet_type
0.0553,0.3825,5.4,mercurian
0.815,0.9489,5.24,terran
1.0,1.0,5.5,terran
0.1075,0.5325,3.93,subterran
317.8,11.2092,1.33,jovian
95.2,9.4494,0.69,jovian
14.6,4.0074,1.27,neptunian
17.2,3.8827,1.64,neptunian
584.8072,16.926,0.712,jovian
2.82,1.305,7,superterran
411.27202,12.812,1.076,jovian
1789.3829,12.8,4.69,jovian
114.4188,13.2,0.273,jovian
574.63664,13.4,1.31,jovian
422.7139,13.6,0.923,jovian
7.22,2.59,2.28,neptunian
13.2,2.76,3.45,superterran
4.94,2.07,3.06,superterran
12.2,3.52,1.54,neptunian
5.1,2.11,2.98,neptunian
16.6,2.9,3.74,superterran
250,13.9,0.512,jovian









